"lambda","design","ME","two_FI","perfect_prob","perfect_me","perfect_2FI"
0.0407622039783662,"OA18",2,1,0.0730666666666666,0.6824,0.0866666666666666
0.0450492023935578,"OA18",2,1,0.0901333333333333,0.795733333333334,0.0968
0.0497870683678639,"OA18",2,1,0.0973333333333333,0.875200000000001,0.0994666666666666
0.0550232200564072,"OA18",2,1,0.0989333333333333,0.922400000000001,0.0994666666666666
0.060810062625218,"OA18",2,1,0.0975999999999999,0.949066666666667,0.0981333333333333
0.0672055127397498,"OA18",2,1,0.0989333333333333,0.957066666666667,0.0992
0.0742735782143339,"OA18",2,1,0.0904,0.952533333333334,0.0904
0.0820849986238988,"OA18",2,1,0.0786666666666666,0.937066666666667,0.0789333333333333
0.0907179532894125,"OA18",2,1,0.0664,0.915466666666667,0.0672
0.100258843722804,"OA18",2,1,0.0514666666666666,0.880800000000001,0.0554666666666667
0.110803158362334,"OA18",2,1,0.0376,0.844533333333334,0.0410666666666667
0.122456428252982,"OA18",2,1,0.0272,0.801600000000001,0.0317333333333333
0.135335283236613,"OA18",2,1,0.0189333333333333,0.753066666666667,0.0229333333333333
0.149568619222635,"OA18",2,1,0.0144,0.700533333333333,0.0178666666666667
